时间（年月日时分秒）,传感器,通道,磁场值(nT)
20250120-231515,0,Y,+000002.8
20250120-231515,1,X,-000007.2
20250120-231515,2,Z,-000004.8
20250120-231515,3,X,-000005.5
20250120-231515,3,Z,+000003.2
20250120-231515,4,X,+000002.7
20250120-231515,6,Y,+000003.0
20250120-231515,7,Y,+000007.9
20250120-231515,8,Y,+000006.4
20250120-231515,9,Z,-000008.4
20250120-231515,10,X,+000002.5
20250120-231515,11,X,-000002.8
20250120-231515,12,X,-000003.0
20250120-231515,12,Y,-000003.5
20250120-231515,12,Z,+000006.1
20250120-231515,13,X,+000002.7
20250120-231515,13,Y,-000006.3
20250120-231515,14,X,-000004.0
20250120-231515,14,Y,-000002.9
20250120-231515,15,Z,+000003.4
20250120-231517,0,X,+000003.6
20250120-231517,1,X,-000004.1
20250120-231517,1,Y,-000003.8
20250120-231517,1,Z,+000002.5
20250120-231517,2,Y,-000002.9
20250120-231517,2,Z,-000003.6
20250120-231517,4,X,+000003.4
20250120-231517,4,Y,+000003.3
20250120-231517,4,Z,+000003.9
20250120-231517,5,X,-000002.6
20250120-231517,5,Y,+000003.2
20250120-231517,5,Z,+000002.7
20250120-231517,8,X,-000003.6
20250120-231517,8,Z,+000004.9
20250120-231517,9,Z,+000002.8
20250120-231517,10,Y,+000004.0
20250120-231517,10,Z,+000003.3
20250120-231517,13,X,-000004.6
20250120-231517,13,Z,-000003.6
20250120-231517,14,Y,-000002.5
20250120-231517,15,X,+000005.4
20250120-231517,15,Y,+000006.2
20250120-231518,0,Y,-000005.0
20250120-231518,0,Z,-000007.7
20250120-231518,1,X,-000002.5
20250120-231518,1,Z,+000002.9
20250120-231518,3,X,-000005.9
20250120-231518,5,Z,+000003.8
20250120-231518,6,Y,+000003.0
20250120-231518,7,Z,+000002.7
20250120-231518,9,X,-000003.5
20250120-231518,9,Y,-000004.3
20250120-231518,10,X,-000004.4
20250120-231518,10,Y,+000003.2
20250120-231518,10,Z,+000005.2
20250120-231518,12,Z,+000002.6
20250120-231518,14,Y,-000002.9
20250120-231519,0,Y,+000004.7
20250120-231519,0,Z,-000008.9
20250120-231519,1,X,+000002.5
20250120-231519,1,Z,-000003.3
20250120-231519,3,Y,+000003.7
20250120-231519,3,Z,+000007.1
20250120-231519,4,Z,-000002.7
20250120-231519,5,X,-000003.0
20250120-231519,6,Y,-000003.2
20250120-231519,7,X,-000003.6
20250120-231519,7,Y,+000006.8
20250120-231519,7,Z,-000003.1
20250120-231519,8,Y,-000003.7
20250120-231519,8,Z,+000003.8
20250120-231519,9,X,-000002.7
20250120-231519,12,Z,-000002.8
20250120-231519,14,Y,-000003.7
20250120-231519,15,Y,+000004.3
20250120-231519,15,Z,+000004.1
20250120-231523,0,X,+000005.1
20250120-231523,0,Z,-000006.6
20250120-231523,1,X,-000004.5
20250120-231523,1,Y,-000004.6
20250120-231523,1,Z,+000003.7
20250120-231523,2,Y,+000004.5
20250120-231523,3,Z,-000004.1
20250120-231523,4,Y,+000003.3
20250120-231523,6,X,+000004.3
20250120-231523,6,Z,-000003.7
20250120-231523,7,Y,-000003.7
20250120-231523,7,Z,+000004.3
20250120-231523,8,X,-000003.6
20250120-231523,8,Z,+000003.0
20250120-231523,10,X,+000004.1
20250120-231523,10,Y,-000006.8
20250120-231523,11,X,+000003.8
20250120-231523,12,Y,-000003.8
20250120-231523,12,Z,-000002.8
20250120-231523,13,Z,-000002.8
20250120-231523,15,X,+000003.4
20250120-231523,15,Z,+000003.0
20250120-231524,0,X,-000003.4
20250120-231524,0,Y,-000004.2
20250120-231524,0,Z,+000004.3
